Date,Open,High,Low,Close,Volume
2017-03-10,843.28,844.91,839.5,843.25,1704024.0
2017-03-09,836.0,842.0,834.21,838.68,1261517.0
2017-03-08,833.51,838.15,831.79,835.37,989773.0
2017-03-07,827.4,833.41,826.52,831.91,1037630.0
2017-03-06,826.95,828.88,822.4,827.78,1109037.0
2017-03-03,830.56,831.36,825.75,829.08,896378.0
2017-03-02,833.85,834.51,829.64,830.63,942476.0
2017-03-01,828.85,836.26,827.26,835.24,1496540.0
2017-02-28,825.61,828.54,820.2,823.21,2260769.0
2017-02-27,824.55,830.5,824.0,829.28,1101466.0
2017-02-24,827.73,829.0,824.2,828.64,1392202.0
2017-02-23,830.12,832.46,822.88,831.33,1472771.0
2017-02-22,828.66,833.25,828.64,830.76,987248.0
2017-02-21,828.66,833.45,828.35,831.66,1262337.0
2017-02-17,823.02,828.07,821.66,828.07,1611039.0
2017-02-16,819.93,824.4,818.98,824.16,1287626.0
2017-02-15,819.36,823.0,818.47,818.98,1313617.0
2017-02-14,819.0,823.0,816.0,820.45,1054732.0
2017-02-13,816.0,820.96,815.49,819.24,1213324.0
2017-02-10,811.7,815.25,809.78,813.67,1134976.0
2017-02-09,809.51,810.66,804.54,809.56,990391.0
2017-02-08,807.0,811.84,803.19,808.38,1155990.0
2017-02-07,803.99,810.5,801.78,806.97,1241221.0
2017-02-06,799.7,801.67,795.25,801.34,1184483.0
2017-02-03,802.99,806.0,800.37,801.49,1463448.0
2017-02-02,793.8,802.7,792.0,798.53,1532138.0
2017-02-01,799.68,801.19,791.19,795.7,2029744.0
2017-01-31,796.86,801.25,790.52,796.79,2160556.0
2017-01-30,814.66,815.84,799.8,802.32,3246573.0
2017-01-27,834.71,841.95,820.44,823.31,2965771.0
2017-01-26,837.81,838.0,827.01,832.15,2973891.0
2017-01-25,829.62,835.77,825.06,835.67,1627304.0
2017-01-24,822.3,825.9,817.82,823.87,1474010.0
2017-01-23,807.25,820.87,803.74,819.31,1963628.0
2017-01-20,806.91,806.91,801.69,805.02,1670045.0
2017-01-19,805.12,809.48,801.8,802.18,919325.0
2017-01-18,805.81,806.2,800.99,806.07,1294407.0
2017-01-17,807.08,807.14,800.37,804.61,1362115.0
2017-01-13,807.48,811.22,806.69,807.88,1099215.0
2017-01-12,807.14,807.39,799.17,806.36,1353057.0
2017-01-11,805.0,808.15,801.37,807.91,1065936.0
2017-01-10,807.86,809.13,803.51,804.79,1176780.0
2017-01-09,806.4,809.97,802.83,806.65,1274645.0
2017-01-06,795.26,807.9,792.2,806.15,1640170.0
2017-01-05,786.08,794.48,785.02,794.02,1335167.0
2017-01-04,788.36,791.34,783.16,786.9,1072958.0
2017-01-03,778.81,789.63,775.8,786.14,1657268.0
2016-12-30,782.75,782.78,770.41,771.82,1769950.0
2016-12-29,783.33,785.93,778.92,782.79,744272.0
2016-12-28,793.7,794.23,783.2,785.05,1153824.0
2016-12-27,790.68,797.86,787.66,791.55,789321.0
2016-12-23,790.9,792.74,787.28,789.91,623944.0
2016-12-22,792.36,793.32,788.58,791.26,972169.0
2016-12-21,795.84,796.68,787.1,794.56,1211346.0
2016-12-20,796.76,798.65,793.27,796.42,951014.0
2016-12-19,790.22,797.66,786.27,794.2,1232087.0
2016-12-16,800.4,800.86,790.29,790.8,2443796.0
2016-12-15,797.34,803.0,792.92,797.85,1626499.0
2016-12-14,797.4,804.0,794.01,797.07,1704150.0
2016-12-13,793.9,804.38,793.34,796.1,2145209.0
2016-12-12,785.04,791.25,784.36,789.27,2104117.0
2016-12-09,780.0,789.43,779.02,789.29,1821914.0
2016-12-08,772.48,778.18,767.23,776.42,1488059.0
2016-12-07,761.0,771.36,755.8,771.19,1760966.0
2016-12-06,764.73,768.83,757.34,759.11,1690689.0
2016-12-05,757.71,763.9,752.9,762.52,1394223.0
2016-12-02,744.59,754.0,743.1,750.5,1452484.0
2016-12-01,757.44,759.85,737.02,747.92,3017947.0
